SampleID	Study_ID	Publication	study_accession	Study_Origin	Gene	Plant_species	Family	Plant	Genotype	Habitat	Condition	instrument_model	library_layout	PlantbyStudy	read_count	sample_title	Year	Country	Harvest	Inoculation	Site	Seed_fraction	Time	Microbe_collection	Seed_number	Seed_mass	bray1	bray2	faith_pd	jaccard1	jaccard2	observed_otus	shannon	unweighted1	unweighted2	weighted1	weighted2	pielou_e
S07-H0	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Brassica oleracea var capitata	Brassicaceae	Cabbage	Negus	Seed		Illumina MiSeq	PAIRED	Cabbage--Barret_M_2015			2010	France	Mechanical	NA	Field	Total		Soaking	1000		-0.093636573	0.02518543	7.381185454	0.240089409	-0.085432767	20	0.923750585	-0.31816262	-0.131281005	-0.730910674	-0.209661772	0.21373576
S07-H24	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Brassica oleracea var capitata	Brassicaceae	Cabbage	Negus	Germinating		Illumina MiSeq	PAIRED	Cabbage--Barret_M_2015			2010	France	Mechanical	NA	Lab	Total		Soaking	200		-0.265948129	-0.069844772	9.224122922	0.105304141	-0.075990366	57	3.997988206	-0.344393598	-0.125138882	-0.259398627	-0.016848839	0.685421497
S08-H0	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Brassica oleracea var capitata	Brassicaceae	Cabbage	Negus	Seed		Illumina MiSeq	PAIRED	Cabbage--Barret_M_2015			2010	Italia	Mechanical	NA	Field	Total		Soaking	1000		-0.093913553	0.074801364	189.5871506	-0.002559565	0.15124478	439	7.676765919	0.290516557	-0.032511358	0.014300535	0.52213522	0.874538445
S08-H24	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Brassica oleracea var capitata	Brassicaceae	Cabbage	Negus	Germinating		Illumina MiSeq	PAIRED	Cabbage--Barret_M_2015			2010	Italia	Mechanical	NA	Lab	Total		Soaking	200		0.235930628	0.080541479	66.3202505	-0.095537117	-0.040775645	136	5.532944201	0.15263311	-0.039888286	0.446543752	-0.134666973	0.780666414
S09-H0	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Brassica oleracea var capitata	Brassicaceae	Cabbage	Negus	Seed		Illumina MiSeq	PAIRED	Cabbage--Barret_M_2015			2011	Chile	Mechanical	NA	Field	Total		Soaking	1000		0.047823298	0.20276678	116.8601477	-0.065141064	0.154159885	286	6.194557189	0.260416174	0.040321512	0.169020198	0.286948885	0.75914888
S09-H24	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Brassica oleracea var capitata	Brassicaceae	Cabbage	Negus	Germinating		Illumina MiSeq	PAIRED	Cabbage--Barret_M_2015			2011	Chile	Mechanical	NA	Lab	Total		Soaking	200		0.468343441	-0.329172175	41.45578936	-0.214672234	-0.12766774	79	2.899227995	0.054276594	-0.042568944	0.671484293	-0.484319742	0.459918914
S10-H0	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Brassica oleracea var botrytis	Brassicaceae	Cauliflower	Clovis	Seed		Illumina MiSeq	PAIRED	Cauliflower--Barret_M_2015			2012	France	Mechanical	NA	Field	Total		Soaking	1000		0.422574232	-0.257171247	124.1976184	-0.125977303	0.091333993	417	5.788445239	0.265321806	-0.035090167	0.686223305	-0.261283518	0.665040139
S10-H24	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Brassica oleracea var botrytis	Brassicaceae	Cauliflower	Clovis	Germinating		Illumina MiSeq	PAIRED	Cauliflower--Barret_M_2015			2012	France	Mechanical	NA	Lab	Total		Soaking	200		0.105448118	0.196860358	74.2671442	-0.128229962	0.045099639	271	6.996620881	0.197582865	-0.021701829	0.6249317	-0.298934142	0.865688178
S11-H0	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Brassica oleracea var italica	Brassicaceae	Broccoli	Verdia	Seed		Illumina MiSeq	PAIRED	Broccoli--Barret_M_2015			2011	Japan	Mechanical	NA	Field	Total		Soaking	1000		0.377715336	-0.170787608	61.75087348	-0.047645409	0.072928585	209	5.463436402	0.170266749	-0.039589637	0.660283318	-0.195601439	0.708859716
S11-H24	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Brassica oleracea var italica	Brassicaceae	Broccoli	Verdia	Germinating		Illumina MiSeq	PAIRED	Broccoli--Barret_M_2015			2011	Japan	Mechanical	NA	Lab	Total		Soaking	200		0.158376239	0.177295269	32.11881661	-0.098064286	0.053383872	152	5.751783643	0.005896961	-0.032357552	0.186992773	0.109175566	0.79357632
S12-H0	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Brassica rapa	Brassicaceae	Turnip	Armand	Seed		Illumina MiSeq	PAIRED	Turnip--Barret_M_2015			2012	France	Mechanical	NA	Field	Total		Soaking	1000		-0.347351463	-0.145046345	46.26040194	0.188982767	0.112770548	134	5.025550705	0.100458239	0.012876838	-0.354906063	-0.020227676	0.711220955
S12-H24	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Brassica rapa	Brassicaceae	Turnip	Armand	Germinating		Illumina MiSeq	PAIRED	Turnip--Barret_M_2015			2012	France	Mechanical	NA	Lab	Total		Soaking	200		-0.403948625	-0.292047678	11.31462919	0.184522422	-0.021790693	33	1.805885319	-0.315517835	0.36149597	-0.600457958	-0.13682035	0.357998458
S13-H0	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Brassica rapa	Brassicaceae	Turnip	Plessis	Seed		Illumina MiSeq	PAIRED	Turnip--Barret_M_2015			2012	Chile	Mechanical	NA	Field	Total		Soaking	1000		-0.000763639	0.21377782	171.1613935	-0.02907636	0.156943115	377	7.263318738	0.281156627	0.049962831	0.116516067	0.417878024	0.848675121
S13-H24	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Brassica rapa	Brassicaceae	Turnip	Plessis	Germinating		Illumina MiSeq	PAIRED	Turnip--Barret_M_2015			2012	Chile	Mechanical	NA	Lab	Total		Soaking	200		0.115255326	0.207817604	28.08513853	-0.192061672	-0.095348503	57	1.328698253	-0.010214483	0.017632549	0.04859106	0.10135709	0.227794155
S14-H0	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Brassica rapa	Brassicaceae	Turnip	Declic	Seed		Illumina MiSeq	PAIRED	Turnip--Barret_M_2015			2012	Chile	Mechanical	NA	Field	Total		Soaking	1000		0.455170947	-0.163731689	93.78580899	-0.177376593	0.022708177	230	4.849070076	0.268816544	-0.009015566	0.642516729	-0.285541951	0.618071025
S14-H24	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Brassica rapa	Brassicaceae	Turnip	Declic	Germinating		Illumina MiSeq	PAIRED	Turnip--Barret_M_2015			2012	Chile	Mechanical	NA	Lab	Total		Soaking	200		0.068108767	0.318841678	58.46012119	-0.130914603	0.024589272	186	6.163961501	0.158584016	-0.030366628	0.406166187	-0.012116843	0.817592739
S15-H0	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Brassica rapa	Brassicaceae	Turnip	Clovis	Seed		Illumina MiSeq	PAIRED	Turnip--Barret_M_2015			2012	France	Mechanical	NA	Field	Total		Soaking	1000		-0.234532446	-0.080061129	75.4349516	0.095850664	0.100352227	159	4.890632337	0.125697227	0.136542017	-0.243596061	0.073648628	0.668769399
S15-H24	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Brassica rapa	Brassicaceae	Turnip	Clovis	Germinating		Illumina MiSeq	PAIRED	Turnip--Barret_M_2015			2012	France	Mechanical	NA	Lab	Total		Soaking	200		-0.217613417	-0.096886231	24.90533291	0.01516108	-0.129226248	44	2.344918428	-0.058735563	-0.06050986	-0.160667589	0.044429845	0.429516952
S16-H0	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Brassica napus	Brassicaceae	Rapeseed	Darmor_Bzh	Seed		Illumina MiSeq	PAIRED	Rapeseed--Barret_M_2015			2011	France	Mechanical	NA	Field	Total		Soaking	1000		0.088517855	0.05166577	282.6100148	-0.088787687	0.16572704	380	7.588923983	0.299025446	-0.002241738	0.564492275	1.247810809	0.885536972
S16-H24	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Brassica napus	Brassicaceae	Rapeseed	Darmor_Bzh	Germinating		Illumina MiSeq	PAIRED	Rapeseed--Barret_M_2015			2011	France	Mechanical	NA	Lab	Total		Soaking	200		-0.308925776	-0.184881551	21.94355198	-0.105644971	0.053275024	97	3.795389247	-0.140629744	0.310672769	-0.350767664	0.063456961	0.575066571
S17-H0	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Brassica napus	Brassicaceae	Rapeseed	Yudal	Seed		Illumina MiSeq	PAIRED	Rapeseed--Barret_M_2015			2011	France	Mechanical	NA	Field	Total		Soaking	1000		0.452305003	-0.317040818	113.4740227	-0.09981512	0.013524681	171	3.670161448	0.261557746	0.102176706	0.700960818	-0.27203967	0.49477412
S17-H24	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Brassica napus	Brassicaceae	Rapeseed	Yudal	Germinating		Illumina MiSeq	PAIRED	Rapeseed--Barret_M_2015			2011	France	Mechanical	NA	Lab	Total		Soaking	200		0.063041052	0.283191423	24.32323552	-0.106716884	-0.124485313	74	4.87665574	-0.159049254	0.313136655	0.373862169	-0.041916626	0.785359911
S18-H0	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Raphanus sativus	Brassicaceae	Radish	Flamboyant5	Seed		Illumina MiSeq	PAIRED	Radish--Barret_M_2015			2012	France	Mechanical	NA	Field	Total		Soaking	1000		-0.399306551	-0.26373748	14.54333724	0.257462559	-0.02441936	34	2.299395526	-0.266733853	0.373069952	-0.538269281	-0.125265021	0.451972938
S18-H24	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Raphanus sativus	Brassicaceae	Radish	Flamboyant5	Germinating		Illumina MiSeq	PAIRED	Radish--Barret_M_2015			2012	France	Mechanical	NA	Lab	Total		Soaking	200		-0.036442904	0.092257011	4.011606484	0.068470239	-0.153806574	13	1.01991559	-0.310584271	-0.239805504	-0.070668961	0.035031766	0.275620107
S19-H0	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Eruca vesicaria	Brassicaceae	Garden rocket	Unknown	Seed		Illumina MiSeq	PAIRED	Garden rocket--Barret_M_2015			2012	France	Mechanical	NA	Field	Total		Soaking	1000		-0.30698248	-0.114855547	25.57413563	0.095054217	0.017882001	92	3.294031964	-0.061341707	-0.034983505	-0.279391139	0.023782391	0.504943769
S19-H24	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Eruca vesicaria	Brassicaceae	Garden rocket	Unknown	Germinating		Illumina MiSeq	PAIRED	Garden rocket--Barret_M_2015			2012	France	Mechanical	NA	Lab	Total		Soaking	200		-0.056856941	0.077296068	14.8265695	0.090219721	-0.264639348	23	0.616924738	-0.181351451	-0.091209645	-0.653110101	-0.177799587	0.1363803
S20-H0	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Arabidopsis thaliana	Brassicaceae	Arabidopsis thaliana	Sf2	Seed		Illumina MiSeq	PAIRED	Arabidopsis thaliana--Barret_M_2015			2012	France	Mechanical	NA	Greenhouse	Total		Soaking	1000		0.100562732	0.37144754	39.93915742	-0.125655436	0.035547306	109	4.406898294	0.074251475	-0.033295528	0.149734946	0.240522005	0.651119722
S20-H24	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Arabidopsis thaliana	Brassicaceae	Arabidopsis thaliana	Sf2	Germinating		Illumina MiSeq	PAIRED	Arabidopsis thaliana--Barret_M_2015			2012	France	Mechanical	NA	Lab	Total		Soaking	200		0.475313943	-0.256849006	17.54419339	-0.157502955	-0.128151346	82	3.669201973	-0.136648831	-0.056503257	0.763943928	-0.437258728	0.577140694
S21-H0	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Medicago truncatula	Fabaceae	Medicago truncatula	A17	Seed		Illumina MiSeq	PAIRED	Medicago truncatula--Barret_M_2015			2012	France	Mechanical	NA	Greenhouse	Total		Soaking	1000		0.075753448	0.164980453	114.6492176	-0.103422587	0.024460666	157	5.780864391	0.275845489	0.060500878	0.179905268	0.637010501	0.7924832
S21-H24	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Medicago truncatula	Fabaceae	Medicago truncatula	A17	Germinating		Illumina MiSeq	PAIRED	Medicago truncatula--Barret_M_2015			2012	France	Mechanical	NA	Lab	Total		Soaking	200		-0.064282247	0.0807674	14.86336027	0.162774174	-0.227670941	34	0.991933041	-0.231968405	-0.067375345	-0.633889018	-0.153205909	0.194975978
S22-H0	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Seed		Illumina MiSeq	PAIRED	Bean--Barret_M_2015			2012	France	Mechanical	NA	Field	Total		Soaking	1000		0.199427538	0.007474207	121.7546791	-0.064790137	0.150096983	567	8.009140674	0.276452472	-0.048841257	0.418490557	0.098004075	0.875583388
S22-H24	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Germinating		Illumina MiSeq	PAIRED	Bean--Barret_M_2015			2012	France	Mechanical	NA	Lab	Total		Soaking	200		0.004047533	0.222895653	115.5852383	-0.069866206	0.135309834	378	6.995046409	0.293188708	0.01408502	-0.001888896	0.292713246	0.816964302
S23-H0	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Seed		Illumina MiSeq	PAIRED	Bean--Barret_M_2015			2012	France	Mechanical	NA	Field	Total		Soaking	1000		0.019994902	0.187580627	118.2897746	-0.044620302	0.141969384	526	8.333026773	0.263342943	-0.043439566	0.171719024	0.321186648	0.921905239
S23-H24	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Germinating		Illumina MiSeq	PAIRED	Bean--Barret_M_2015			2012	France	Mechanical	NA	Lab	Total		Soaking	200		-0.000413533	0.179325724	95.9458204	-0.078566106	0.112631872	458	7.607577796	0.24832333	-0.034800965	0.096110963	0.26232362	0.860663243
S24-H0	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Seed		Illumina MiSeq	PAIRED	Bean--Barret_M_2015			2013	Chile	Mechanical	NA	Field	Total		Soaking	1000		0.012137551	0.120067089	163.2365613	-0.057663244	0.104438013	718	8.974603299	0.269415586	-0.064452271	0.153090739	0.277598209	0.94590584
S24-H24	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Germinating		Illumina MiSeq	PAIRED	Bean--Barret_M_2015			2013	Chile	Mechanical	NA	Lab	Total		Soaking	200		-0.224385321	-0.075249157	22.80739393	-0.051617934	-0.096274444	90	2.836062645	-0.083502193	-0.077364851	-0.432946239	-0.249585376	0.436864883
S25-H0	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Daucus carota	Apiaceae	Carrot	Presto	Seed		Illumina MiSeq	PAIRED	Carrot--Barret_M_2015			2012	New Zealand	Mechanical	NA	Field	Total		Soaking	1000		-0.221427245	-0.036024802	10.52406573	0.214003855	0.303993023	147	5.875538196	-0.27360146	-0.074437538	-0.227409167	0.065880196	0.81608411
S25-H24	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Daucus carota	Apiaceae	Carrot	Presto	Germinating		Illumina MiSeq	PAIRED	Carrot--Barret_M_2015			2012	New Zealand	Mechanical	NA	Lab	Total		Soaking	200		-0.108132596	0.048434004	11.48420876	0.2163933	0.287479511	152	5.924058819	-0.273936615	-0.097014747	-0.056333897	0.068940586	0.817345208
S26-H0	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Daucus carota	Apiaceae	Carrot	Maestro	Seed		Illumina MiSeq	PAIRED	Carrot--Barret_M_2015			2012	USA	Mechanical	NA	Field	Total		Soaking	1000		-0.088437811	0.044032878	5.463108591	0.099929497	0.101931539	14	1.670965961	-0.17567371	-0.178057925	-0.067863171	0.050014622	0.438878433
S26-H24	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Daucus carota	Apiaceae	Carrot	Maestro	Germinating		Illumina MiSeq	PAIRED	Carrot--Barret_M_2015			2012	USA	Mechanical	NA	Lab	Total		Soaking	200		-0.337658556	-0.156522206	5.726165784	0.307198256	0.013310632	29	2.673005115	-0.206805831	-0.224986043	-0.32627696	-0.025593188	0.550229636
S27-H0	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Solanum lycopersicum	Solanaceae	Tomato	Retana	Seed		Illumina MiSeq	PAIRED	Tomato--Barret_M_2015			2011	China	Mechanical	NA	Field	Total		Soaking	1000		0.420783094	0.000580347	36.19164543	-0.179104724	-0.032568573	77	4.262620414	0.031064762	0.175962524	0.859361702	-0.189556113	0.680192374
S27-H24	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Solanum lycopersicum	Solanaceae	Tomato	Retana	Germinating		Illumina MiSeq	PAIRED	Tomato--Barret_M_2015			2011	China	Mechanical	NA	Lab	Total		Soaking	200		0.071098379	0.343038551	66.61419289	-0.078639374	0.106476385	146	5.532211115	0.21291246	0.006409736	0.100687842	0.295985679	0.769450085
S28-H0	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Solanum lycopersicum	Solanaceae	Tomato	Superpro	Seed		Illumina MiSeq	PAIRED	Tomato--Barret_M_2015			2012	China	Mechanical	NA	Field	Total		Soaking	1000		-0.032993118	0.072702613	21.10060958	-0.032711817	0.111469809	97	4.188044029	-0.036029628	-0.125090592	-0.680339056	-0.197730417	0.634560505
S28-H24	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Solanum lycopersicum	Solanaceae	Tomato	Superpro	Germinating		Illumina MiSeq	PAIRED	Tomato--Barret_M_2015			2012	China	Mechanical	NA	Lab	Total		Soaking	200		-0.022002309	0.075337989	6.790234676	-0.031649582	0.104357216	73	3.776487677	-0.217325929	-0.219398322	-0.453358998	-0.082396916	0.610112232
AST1a	Sarniguet_A_2016	unpublished		IRHS	gyrB	Brassica napus	Brassicaceae	Rapeseed	Astrid	Seed	La Gruche - Fecondation libre	Illumina MiSeq	PAIRED	Rapeseed--Sarniguet_A_2016			2015	France	Mechanical	NA	Field	Total		Soaking	1000	4	-0.264148642	-0.031868301	39.13459439	-0.197657897	-0.076687394	248	3.914474881	-0.207815248	0.066588111	-0.164479155	-0.008862504	0.492127014
AST1b	Sarniguet_A_2016	unpublished		IRHS	gyrB	Brassica napus	Brassicaceae	Rapeseed	Astrid	Seed	La Gruche - Fecondation libre	Illumina MiSeq	PAIRED	Rapeseed--Sarniguet_A_2016			2015	France	Mechanical	NA	Field	Total		Soaking	1000	4	0.119737831	-0.241407966	20.08557658	-0.042661369	-0.023469368	101	4.858930686	-0.055512498	-0.194957642	-0.532444485	-0.20037072	0.729765148
AST1c	Sarniguet_A_2016	unpublished		IRHS	gyrB	Brassica napus	Brassicaceae	Rapeseed	Astrid	Seed	La Gruche - Fecondation libre	Illumina MiSeq	PAIRED	Rapeseed--Sarniguet_A_2016			2015	France	Mechanical	NA	Field	Total		Soaking	1000	4	0.100120017	-0.210820714	41.63148285	-0.174263096	-0.04667664	195	4.61822528	-0.138251589	0.235540335	-0.463922293	0.081958917	0.607075687
AST2a	Sarniguet_A_2016	unpublished		IRHS	gyrB	Brassica napus	Brassicaceae	Rapeseed	Astrid	Seed	La Gruche - Fecondation libre	Illumina MiSeq	PAIRED	Rapeseed--Sarniguet_A_2016			2015	France	Mechanical	NA	Field	Total		Soaking	1000	4	0.16277584	-0.226977624	25.91793185	-0.034340704	-0.082014653	116	4.245691371	-0.132005526	-0.069282998	-0.271951291	0.045301168	0.619087655
AST2b	Sarniguet_A_2016	unpublished		IRHS	gyrB	Brassica napus	Brassicaceae	Rapeseed	Astrid	Seed	La Gruche - Fecondation libre	Illumina MiSeq	PAIRED	Rapeseed--Sarniguet_A_2016			2015	France	Mechanical	NA	Field	Total		Soaking	1000	4	0.194396327	-0.149953171	13.30645454	0.124010544	-0.138173736	63	4.218168163	0.152211547	0.030632639	-0.650613604	-0.002845196	0.705700288
AST2c	Sarniguet_A_2016	unpublished		IRHS	gyrB	Brassica napus	Brassicaceae	Rapeseed	Astrid	Seed	La Gruche - Fecondation libre	Illumina MiSeq	PAIRED	Rapeseed--Sarniguet_A_2016			2015	France	Mechanical	NA	Field	Total		Soaking	1000	4	0.108092996	0.142763821	18.66373316	-0.130457566	0.002781298	153	3.894931066	0.023745541	0.095204741	0.016146354	0.043316925	0.536684982
AST3a	Sarniguet_A_2016	unpublished		IRHS	gyrB	Brassica napus	Brassicaceae	Rapeseed	Astrid	Seed	La Gruche - Fecondation libre	Illumina MiSeq	PAIRED	Rapeseed--Sarniguet_A_2016			2015	France	Mechanical	NA	Field	Total		Soaking	1000	4	0.377883467	0.22981335	22.68941625	-0.074410075	0.057712775	127	3.257790595	-0.127920716	-0.19614555	0.009486002	-0.082471707	0.466152179
AST3b	Sarniguet_A_2016	unpublished		IRHS	gyrB	Brassica napus	Brassicaceae	Rapeseed	Astrid	Seed	La Gruche - Fecondation libre	Illumina MiSeq	PAIRED	Rapeseed--Sarniguet_A_2016			2015	France	Mechanical	NA	Field	Total		Soaking	1000	4	-0.24850388	0.265729729	16.11607145	0.093360837	-0.019659318	67	1.901296789	0.192152163	0.054443593	0.278461106	-0.01374629	0.313430405
