SampleID	Feature Count	Study_ID	Publication	study_accession	Study_Origin	Gene	Plant_species	Family	Plant	Genotype	Habitat	Condition	instrument_model	library_layout	PlantbyStudy	sample_title	Year	Country	Harvest	Inoculation	Site	Seed_fraction	Microbe_collection	Seed_number	Seed_mass_g	bray1	bray2	pielou_e	jaccard1	jaccard2	observed_otus	shannon
SRR11639941	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Embryo	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	7E-ITS reads of oak Embryo_Rep 7	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.099037221	-0.192844522	0.686997059	-0.097255412	-0.355033164	11	2.376619347
SRR11639942	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	12P-ITS reads of oak Pericarp_Rep 12	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.377888037	-0.401115438	0.233185344	0.208946562	-0.047564699	6	0.602775369
SRR11639943	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	11P-ITS reads of oak Pericarp_Rep 11	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.19778715	0.166280054	0.510799823	-0.068462034	0.103004958	9	1.61919713
SRR11639944	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	10P-ITS reads of oak Pericarp_Rep 10	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.173239341	0.084796856	0.086888394	0.145848741	-0.076031504	7	0.243926559
SRR11639945	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	9P-ITS reads of oak Pericarp_Rep 9	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.13609894	-0.397958019	0.42276352	0.020240604	-0.016180023	13	1.564410919
SRR11639946	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	8P-ITS reads of oak Pericarp_Rep 8	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.460896764	-0.020239052	0.020550402	0.278897646	-0.178279893	4	0.041100804
SRR11639947	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	7P-ITS reads of oak Pericarp_Rep 7	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.296963517	-0.224606008	0.643541699	0.063043422	-0.385065816	6	1.663531159
SRR11639948	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	6P-ITS reads of oak Pericarp_Rep 6	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.262834852	-0.045423885	0.21117855	0.30137689	-0.046050149	10	0.701519958
SRR11639949	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	5P-ITS reads of oak Pericarp_Rep 5	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.181201966	-0.104555447	0.439116615	-0.15088294	-0.025228927	12	1.574216596
SRR11639950	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	4P-ITS reads of oak Pericarp_Rep 4	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.279813626	0.39129927	0.315936474	-0.036506407	0.19755108	12	1.13262041
SRR11639951	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	3P-ITS reads of oak Pericarp_Rep 3	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.320579046	0.393971703	0.054775599	-0.076319794	-0.04500646	14	0.208550147
SRR11639952	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Embryo	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	6E-ITS reads of oak Embryo_Rep 6	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.050928302	-0.042811873	0.79243344	0.044982141	0.068541821	16	3.169733759
SRR11639953	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	2P-ITS reads of oak Pericarp_Rep 2	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.344380345	0.2328113	0.427736371	-0.183817112	-0.000654557	17	1.748356523
SRR11639954	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	1P-ITS reads of oak Pericarp_Rep 1	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.178318738	0.116976508	0.393598316	-0.238596354	-0.202678106	13	1.456486842
SRR11639967	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Embryo	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	19E-ITS reads of oak Embryo_Rep 19	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.186621509	0.143114594	0.64247689	-0.303641469	-0.012448167	14	2.446137549
SRR11639978	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Embryo	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	18E-ITS reads of oak Embryo_Rep 18	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.060922797	0.244011304	0.702388216	-0.212044735	0.178095431	13	2.599145253
SRR11639989	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Embryo	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	17E-ITS reads of oak Embryo_Rep 17	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.033045507	0.158966402	0.5511879	-0.04796312	0.24052118	12	1.975987951
SRR11640000	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Embryo	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	16E-ITS reads of oak Embryo_Rep 16	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.034106503	0.188342639	0.69548661	-0.185848468	-0.248717675	14	2.647964368
SRR11640011	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Embryo	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	15E-ITS reads of oak Embryo_Rep 15	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.225369883	-0.129512758	0.691675933	0.164571287	0.136061275	12	2.479632283
SRR11640022	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Embryo	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	14E-ITS reads of oak Embryo_Rep 14	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.058366216	0.064377248	0.700124261	0.260886401	0.194262525	11	2.422032005
SRR11640033	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Embryo	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	13E-ITS reads of oak Embryo_Rep 13	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.343243728	0.134205089	0.529349036	-0.164284256	0.128619111	12	1.897696444
SRR11640044	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Embryo	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	12E-ITS reads of oak Embryo_Rep 12	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.149911322	0.126342763	0.465925855	-0.030440359	0.303583051	11	1.611838634
SRR11640059	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Embryo	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	5E-ITS reads of oak Embryo_Rep 5	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.004501321	0.09790593	0.783273696	-0.168082091	-0.092555064	21	3.440386701
SRR11640070	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Embryo	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	4E-ITS reads of oak Embryo_Rep 4	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.273858284	0.045337682	0.741690025	-0.105978347	0.175219276	17	3.031630419
SRR11640078	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Embryo	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	23E-ITS reads of oak Embryo_Rep 23	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.082686503	0.06135131	0.469514425	0.245002748	0.209734839	9	1.488325515
SRR11640079	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Embryo	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	22E-ITS reads of oak Embryo_Rep 22	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.167667793	0.083210764	0.615265273	-0.086560649	-0.190260147	16	2.461061092
SRR11640080	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Embryo	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	21E-ITS reads of oak Embryo_Rep 21	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.026905828	0.15755233	0.411101324	-0.008838501	0.212683432	9	1.303160366
SRR11640081	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Embryo	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	3E-ITS reads of oak Embryo_Rep 3	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.263392847	0.33956298	0.256575078	-0.138871442	0.214936192	18	1.069898831
SRR11640096	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Embryo	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	10E-ITS reads of oak Embryo_Rep 10	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.248690688	0.110716597	0.726311922	-0.310269083	0.015162257	16	2.905247687
SRR11640107	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Embryo	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	9E-ITS reads of oak Embryo_Rep 9	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.148323943	-0.092576976	0.758224194	-0.158004136	0.158098433	12	2.718205304
SRR11640115	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Embryo	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	11E-ITS reads of oak Embryo_Rep 11	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.173242259	0.170903239	0.166819972	-0.061132418	0.247997135	11	0.577102285
SRR11640116	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Embryo	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	2E-ITS reads of oak Embryo_Rep 2	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.120075409	0.18398893	0.625849344	-0.091143162	0.252204719	12	2.243646431
SRR11640117	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Embryo	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	1E-ITS reads of oak Embryo_Rep 1	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.286987119	0.028897469	0.596561906	-0.259518994	0.062512543	20	2.578297663
0F1SS	2883	Barret_M_2020	Unpublished	None	IRHS	ITS1	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Seed	None	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Source_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		-0.626476087	-0.344187633	0.674144892	0.241613191	-0.393920623	95	4.429034596
0F2SS	2883	Barret_M_2020	Unpublished	None	IRHS	ITS1	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Seed	None	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Source_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		-0.662261244	-0.351600904	0.685304971	0.287184687	-0.430757147	78	4.307417384
0F3SS	2883	Barret_M_2020	Unpublished	None	IRHS	ITS1	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Seed	None	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Source_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		-0.475143705	-0.319046315	0.703885128	0.186354601	-0.429977689	86	4.523352188
0R1SS	2883	Barret_M_2020	Unpublished	None	IRHS	ITS1	Phaseolus vulgaris	Fabaceae	Bean	Red_Hawk	Seed	None	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Source_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		-0.555841523	-0.356723911	0.704021941	0.192165131	-0.417565215	115	4.819375195
0R2SS	2883	Barret_M_2020	Unpublished	None	IRHS	ITS1	Phaseolus vulgaris	Fabaceae	Bean	Red_Hawk	Seed	None	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Source_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		-0.397156102	-0.332043799	0.705206823	0.053227252	-0.366244259	96	4.643760486
0R3SS	2883	Barret_M_2020	Unpublished	None	IRHS	ITS1	Phaseolus vulgaris	Fabaceae	Bean	Red_Hawk	Seed	None	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Source_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		-0.307216746	-0.302364429	0.693363383	0.036466896	-0.362839817	90	4.501213224
1FC01FS	2883	Barret_M_2020	Unpublished	None	IRHS	ITS1	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Seed	Control	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Fresh_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		0.069450894	-0.043890956	0.567469051	-0.019677544	-0.034720353	73	3.512533869
1FC02MS	2883	Barret_M_2020	Unpublished	None	IRHS	ITS1	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Seed	Control	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Mature_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		0.105596428	-0.030374183	0.548591135	-0.147132946	0.035530513	73	3.395682879
1FC03FS	2883	Barret_M_2020	Unpublished	None	IRHS	ITS1	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Seed	Control	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Fresh_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		0.101911474	-0.072156846	0.570296608	-0.080394537	-0.07033197	44	3.113495333
1FC04MS	2883	Barret_M_2020	Unpublished	None	IRHS	ITS1	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Seed	Control	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Mature_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		0.090870885	0.002906039	0.514693149	-0.046906974	0.058648629	65	3.099671454
1FC05FS	2883	Barret_M_2020	Unpublished	None	IRHS	ITS1	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Seed	Control	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Fresh_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		0.104272031	-0.089081683	0.580886397	-0.214361036	-0.015134375	63	3.472120596
1FC06MS	2883	Barret_M_2020	Unpublished	None	IRHS	ITS1	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Seed	Control	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Mature_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		0.092012551	-0.103224231	0.616870708	-0.273679628	-0.005309935	52	3.516434283
1FC07FS	2883	Barret_M_2020	Unpublished	None	IRHS	ITS1	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Seed	Control	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Fresh_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		0.109534984	-0.040428146	0.552123285	-0.064907732	-0.017134942	67	3.349229091
1FC08MS	2883	Barret_M_2020	Unpublished	None	IRHS	ITS1	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Seed	Control	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Mature_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		0.093192815	-0.095714532	0.629089432	-0.274591645	-0.004670419	52	3.586086385
1FC09FS	2883	Barret_M_2020	Unpublished	None	IRHS	ITS1	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Seed	Control	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Fresh_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		-0.320520237	0.127955503	0.560051232	-0.089475025	-0.079176923	47	3.11085433
1FC10MS	2883	Barret_M_2020	Unpublished	None	IRHS	ITS1	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Seed	Control	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Mature_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		0.104797331	-0.059271397	0.587707713	-0.104441559	0.062749039	61	3.485540074
1FD01FS	2883	Barret_M_2020	Unpublished	None	IRHS	ITS1	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Seed	Drought	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Fresh_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		0.096278281	-0.076135594	0.534800379	-0.1943631	-0.070129159	81	3.390554184
1FD02MS	2883	Barret_M_2020	Unpublished	None	IRHS	ITS1	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Seed	Drought	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Mature_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		0.098465492	-0.094550045	0.584925562	-0.299523458	-0.012390804	63	3.496263816
1FD03FS	2883	Barret_M_2020	Unpublished	None	IRHS	ITS1	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Seed	Drought	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Fresh_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		0.049718902	0.007449187	0.540423813	-0.218964352	-0.018984603	73	3.345128587
1FD04MS	2883	Barret_M_2020	Unpublished	None	IRHS	ITS1	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Seed	Drought	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Mature_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		0.09860199	-0.065483315	0.575632109	-0.138664564	0.021124554	80	3.639104803
